Task ID,Filename
PCVYKEQHWTXXCT4Y46OPYU4S,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-10mquadrant1
4AY7TMDTSLHGSMNMAENJDK7U,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-10mquadrant2
GSPZTZ6GLZLZUD4XKER4OPSX,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-10mquadrant3
MDXGGRHOFJ54EUOLF7FB4M2G,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-10mquadrant4
HRODU5WLMOVZJILX4UNWDWFG,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_masks-10mquadrant1
7AMNBTNBZZYS6BZBCUZEAIXH,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_masks-10mquadrant2
7SQEQU3BAWR5RJV3VV45NUHB,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_masks-10mquadrant3
E437UEMHV26POKPXVHPIN3IH,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_masks-10mquadrant4
NXYD3CZCHEAE7QT6LP6RN7OB,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_registration-10mquadrant1
FN5RVO6TR7XTFUNGGOK7A5WV,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_registration-10mquadrant2
Y4EQYX6LPRFZCQ7JGDM2K6AP,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_registration-10mquadrant3
WALC6MGJPK5QOTCLHCRGJK2K,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_registration-10mquadrant4
XFTAY33FC3BUWT77CKXGBNXL,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_cloudprobability-10mquadrant1
QUUFZPG6GAMQ7DOD3L7C4UVQ,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_cloudprobability-10mquadrant2
IONL56PN2K5BNGNO2XTN77ZP,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_cloudprobability-10mquadrant3
RRIRTCOJEOKXD5DXQNAFVH2T,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_cloudprobability-10mquadrant4
LWOXLNQP3JTW36ZAA2AFA4HZ,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-20mquadrant1
PJKRHGPBC445KF6RKOLEKBFL,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-20mquadrant2
RCGJNBND2AMNNJTQGLRHIAAR,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-20mquadrant3
JSPDERACYRTHXJKWN5UNXNZY,ch.swisstopo.swisseo_s2-sr_v100_mosaic_2024-11-16T102311_bands-20mquadrant4
7JSKBSFEBFLHGMDIJXXOCGOP,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_vegetation-10mquadrant1
R4Y5HOYRX4CWPTQVBALTFEHR,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_vegetation-10mquadrant2
CCMEETMD4N6BYEZVWUNG3COA,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_vegetation-10mquadrant3
PAMYF7J37TBSVQE4NYFI5OCX,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_vegetation-10mquadrant4
ZMIGJPFPE3YBP6KIW7QWNYVX,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_forest-10mquadrant1
OPMBEP5GPPJBZDWG5MSRAEE6,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_forest-10mquadrant2
HOZ2GHWP7STZLLT6MXCXHAHT,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_forest-10mquadrant3
JDNOOFSQAOGVAKGVJ6ZVLXTC,ch.swisstopo.swisseo_vhi_v100_mosaic_2024-11-16T235959_forest-10mquadrant4
